,mean,std,min,max
mtx_UNINTEGRATED|g__Fusobacterium.s__Fusobacterium_ulcerans,57.53098,1446.095,0.0,40014.5
mtx_UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis,379.86884,1376.0616,0.0,14406.6
mtx_UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae,150.10762,1190.8463,0.0,27974.0
mtx_UNINTEGRATED|g__Roseburia.s__Roseburia_hominis,200.03777,1146.7767,0.0,21932.5
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_891,70.2119,1117.3003,0.0,24780.5
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_intestinalis,189.4657,1091.1754,0.0,18840.2
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea_CAG_629,106.476166,1036.462,0.0,19345.6
mtx_UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_38,92.042915,999.5554,0.0,18780.7
mtx_UNINTEGRATED|g__Clostridium.s__Clostridium_butyricum,49.08817,971.498,0.0,21540.1
mtx_UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecium,34.009495,943.1121,0.0,26153.3
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_D2,46.6407,942.2271,0.0,22421.5
mtx_UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris,85.96294,933.46484,0.0,16233.7
mtx_UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum,52.534912,927.2756,0.0,24141.2
mtx_UNINTEGRATED|g__Clostridium.s__Clostridium_cadaveris,32.616783,869.1695,0.0,24083.4
mtx_UNINTEGRATED|g__Klebsiella.s__Klebsiella_variicola,68.04598,841.417,0.0,20411.1
mtx_UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum,30.15207,768.9201,0.0,21235.9
mtx_UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus,134.42,764.9272,0.0,11136.7
mtx_UNINTEGRATED|g__Citrobacter.s__Citrobacter_freundii,59.954857,760.74384,0.0,18354.8
mtx_UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii,52.26693,747.5779,0.0,14372.8
mtx_UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139,122.46128,747.2494,0.0,17303.0
mtx_UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii,51.222183,738.08923,0.0,19197.5
mtx_UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_bifidum,34.024353,717.1827,0.0,19668.0
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_sp_43_108,47.586254,715.0405,0.0,14397.1
mtx_UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum,98.7338,691.83856,0.0,9284.25
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola_CAG_162,69.95473,679.1193,0.0,14563.7
mtx_UNINTEGRATED|g__Bacteroides.s__Bacteroides_nordii,101.6773,674.66675,0.0,11232.1
mtx_UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis,37.5869,615.77014,0.0,16549.0
mtx_UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_clostridioforme,72.464485,611.3216,0.0,10765.3
mtx_UNINTEGRATED|g__Saccharomyces.s__Saccharomyces_cerevisiae,21.13186,586.00446,0.0,16250.4
mtx_UNINTEGRATED|g__Ruminococcaceae_unclassified.s__Clostridium_leptum,56.733757,575.26306,0.0,10105.5
mtx_UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii,90.62424,574.51086,0.0,11072.8
mtx_UNINTEGRATED|g__Prevotella.s__Prevotella_buccae,33.523373,566.8917,0.0,13208.2
