,control,flare,remission,accuracy,macro avg,weighted avg
precision,0.7068965517241379,0.7526881720430108,0.9009009009009009,0.8244473342002601,0.7868285415560164,0.8330985401303381
recall,0.82,0.7777777777777778,0.8350730688935282,0.8244473342002601,0.8109502822237685,0.8244473342002601
f1-score,0.7592592592592593,0.7650273224043715,0.866738894907909,0.8244473342002601,0.7970084921905133,0.8268819785814483
support,200.0,90.0,479.0,0.8244473342002601,769.0,769.0
