metric,value
accuracy,0.8244473342002601
precision_macro,0.7868285415560164
recall_macro,0.8109502822237685
f1_macro,0.7970084921905133
precision_weighted,0.8330985401303381
recall_weighted,0.8244473342002601
f1_weighted,0.8268819785814483
roc_auc,0.9273222124584191
